"filename", "language", "XML", "C++", "LaTeX", "TeX", "Markdown", "JSON", "comment", "blank", "total"
"a:\Education\DIPLOMA_BAC\Diploma\Computing\Matrix.h", "C++", 0, 162, 0, 0, 0, 0, 5, 18, 185
"a:\Education\DIPLOMA_BAC\Diploma\Computing\ViewFactor.hpp", "C++", 0, 158, 0, 0, 0, 0, 0, 11, 169
"a:\Education\DIPLOMA_BAC\Diploma\CppProperties.json", "JSON", 0, 0, 0, 0, 0, 23, 0, 0, 23
"a:\Education\DIPLOMA_BAC\Diploma\Data.h", "C++", 0, 20, 0, 0, 0, 0, 1, 4, 25
"a:\Education\DIPLOMA_BAC\Diploma\Input_files\Test23.svg", "XML", 17, 0, 0, 0, 0, 0, 0, 1, 18
"a:\Education\DIPLOMA_BAC\Diploma\Input_files\Test24_0.svg", "XML", 17, 0, 0, 0, 0, 0, 0, 1, 18
"a:\Education\DIPLOMA_BAC\Diploma\Input_files\Test24_1.svg", "XML", 17, 0, 0, 0, 0, 0, 0, 1, 18
"a:\Education\DIPLOMA_BAC\Diploma\Input_files\Test24_2.svg", "XML", 17, 0, 0, 0, 0, 0, 0, 1, 18
"a:\Education\DIPLOMA_BAC\Diploma\Input_files\Test24_3.svg", "XML", 17, 0, 0, 0, 0, 0, 0, 1, 18
"a:\Education\DIPLOMA_BAC\Diploma\Input_files\Test24_4.svg", "XML", 17, 0, 0, 0, 0, 0, 0, 1, 18
"a:\Education\DIPLOMA_BAC\Diploma\Input_files\Test25_10.svg", "XML", 17, 0, 0, 0, 0, 0, 0, 1, 18
"a:\Education\DIPLOMA_BAC\Diploma\Input_files\Test25_20.svg", "XML", 17, 0, 0, 0, 0, 0, 0, 1, 18
"a:\Education\DIPLOMA_BAC\Diploma\Input_files\Test25_40.svg", "XML", 17, 0, 0, 0, 0, 0, 0, 1, 18
"a:\Education\DIPLOMA_BAC\Diploma\Input_files\Test25_80.svg", "XML", 17, 0, 0, 0, 0, 0, 0, 1, 18
"a:\Education\DIPLOMA_BAC\Diploma\Input_files\Test29.svg", "XML", 17, 0, 0, 0, 0, 0, 0, 1, 18
"a:\Education\DIPLOMA_BAC\Diploma\Input_files\Test29_100.svg", "XML", 17, 0, 0, 0, 0, 0, 0, 1, 18
"a:\Education\DIPLOMA_BAC\Diploma\Input_files\Test29_102400.svg", "XML", 17, 0, 0, 0, 0, 0, 0, 1, 18
"a:\Education\DIPLOMA_BAC\Diploma\Input_files\Test29_12800.svg", "XML", 17, 0, 0, 0, 0, 0, 0, 1, 18
"a:\Education\DIPLOMA_BAC\Diploma\Input_files\Test29_1600.svg", "XML", 17, 0, 0, 0, 0, 0, 0, 1, 18
"a:\Education\DIPLOMA_BAC\Diploma\Input_files\Test29_200.svg", "XML", 17, 0, 0, 0, 0, 0, 0, 1, 18
"a:\Education\DIPLOMA_BAC\Diploma\Input_files\Test29_25600.svg", "XML", 17, 0, 0, 0, 0, 0, 0, 1, 18
"a:\Education\DIPLOMA_BAC\Diploma\Input_files\Test29_3200.svg", "XML", 17, 0, 0, 0, 0, 0, 0, 1, 18
"a:\Education\DIPLOMA_BAC\Diploma\Input_files\Test29_400.svg", "XML", 17, 0, 0, 0, 0, 0, 0, 1, 18
"a:\Education\DIPLOMA_BAC\Diploma\Input_files\Test29_51200.svg", "XML", 17, 0, 0, 0, 0, 0, 0, 1, 18
"a:\Education\DIPLOMA_BAC\Diploma\Input_files\Test29_6400.svg", "XML", 17, 0, 0, 0, 0, 0, 0, 1, 18
"a:\Education\DIPLOMA_BAC\Diploma\Input_files\Test29_800.svg", "XML", 17, 0, 0, 0, 0, 0, 0, 1, 18
"a:\Education\DIPLOMA_BAC\Diploma\Input_files\Test32.svg", "XML", 17, 0, 0, 0, 0, 0, 0, 1, 18
"a:\Education\DIPLOMA_BAC\Diploma\Input_files\Test33.svg", "XML", 17, 0, 0, 0, 0, 0, 0, 1, 18
"a:\Education\DIPLOMA_BAC\Diploma\Input_files\Test34.svg", "XML", 17, 0, 0, 0, 0, 0, 0, 1, 18
"a:\Education\DIPLOMA_BAC\Diploma\Input_files\Test35_10.svg", "XML", 17, 0, 0, 0, 0, 0, 0, 1, 18
"a:\Education\DIPLOMA_BAC\Diploma\Input_files\Test35_20.svg", "XML", 17, 0, 0, 0, 0, 0, 0, 1, 18
"a:\Education\DIPLOMA_BAC\Diploma\Input_files\Test35_40.svg", "XML", 17, 0, 0, 0, 0, 0, 0, 1, 18
"a:\Education\DIPLOMA_BAC\Diploma\Input_files\Test35_80.svg", "XML", 17, 0, 0, 0, 0, 0, 0, 1, 18
"a:\Education\DIPLOMA_BAC\Diploma\Input_files\Test36_10.svg", "XML", 17, 0, 0, 0, 0, 0, 0, 1, 18
"a:\Education\DIPLOMA_BAC\Diploma\Input_files\Test36_20.svg", "XML", 17, 0, 0, 0, 0, 0, 0, 1, 18
"a:\Education\DIPLOMA_BAC\Diploma\Input_files\Test36_40.svg", "XML", 17, 0, 0, 0, 0, 0, 0, 1, 18
"a:\Education\DIPLOMA_BAC\Diploma\Input_files\Test36_80.svg", "XML", 17, 0, 0, 0, 0, 0, 0, 1, 18
"a:\Education\DIPLOMA_BAC\Diploma\Input_files\Test37_10.svg", "XML", 17, 0, 0, 0, 0, 0, 0, 1, 18
"a:\Education\DIPLOMA_BAC\Diploma\Input_files\Test37_20.svg", "XML", 17, 0, 0, 0, 0, 0, 0, 1, 18
"a:\Education\DIPLOMA_BAC\Diploma\Input_files\Test37_40.svg", "XML", 17, 0, 0, 0, 0, 0, 0, 1, 18
"a:\Education\DIPLOMA_BAC\Diploma\Input_files\Test37_80.svg", "XML", 17, 0, 0, 0, 0, 0, 0, 1, 18
"a:\Education\DIPLOMA_BAC\Diploma\Input_files\Test44_10.svg", "XML", 19, 0, 0, 0, 0, 0, 0, 1, 20
"a:\Education\DIPLOMA_BAC\Diploma\Input_files\Test44_20.svg", "XML", 19, 0, 0, 0, 0, 0, 0, 1, 20
"a:\Education\DIPLOMA_BAC\Diploma\Input_files\Test44_40.svg", "XML", 19, 0, 0, 0, 0, 0, 0, 1, 20
"a:\Education\DIPLOMA_BAC\Diploma\Input_files\Test44_80.svg", "XML", 19, 0, 0, 0, 0, 0, 0, 1, 20
"a:\Education\DIPLOMA_BAC\Diploma\Input_files\Test5.svg", "XML", 17, 0, 0, 0, 0, 0, 0, 1, 18
"a:\Education\DIPLOMA_BAC\Diploma\Main.cpp", "C++", 0, 54, 0, 0, 0, 0, 15, 13, 82
"a:\Education\DIPLOMA_BAC\Diploma\Parsing\XmlCodeToPropertyTree.hpp", "C++", 0, 78, 0, 0, 0, 0, 1, 6, 85
"a:\Education\DIPLOMA_BAC\Diploma\Report\README.md", "Markdown", 0, 0, 0, 0, 31, 0, 0, 13, 44
"a:\Education\DIPLOMA_BAC\Diploma\Report\main.tex", "LaTeX", 0, 0, 704, 0, 0, 0, 15, 61, 780
"a:\Education\DIPLOMA_BAC\Diploma\Report\spbudiploma.sty", "TeX", 0, 0, 0, 60, 0, 0, 40, 16, 116
"a:\Education\DIPLOMA_BAC\Diploma\Report\spbudiploma_tempora.sty", "TeX", 0, 0, 0, 61, 0, 0, 41, 15, 117
"a:\Education\DIPLOMA_BAC\Diploma\Report\titlepage.tex", "LaTeX", 0, 0, 30, 0, 0, 0, 22, 12, 64
